Row,Anon Student Id,Problem Hierarchy,Problem Name,Problem View,Step Name,Step Start Time,First Transaction Time,Correct Transaction Time,Step End Time,Step Duration (sec),Correct Step Duration (sec),Error Step Duration (sec),Correct First Attempt,Incorrects,Hints,Corrects,KC(Default),Opportunity(Default),Problem Unit,Problem Section
10039,52vEY7f17k,"Unit CTA1_13, Section CTA1_13-1",PROP01,1,2/300*X = 10,,,,,,,,1.0,,,,,,CTA1_13,CTA1_13-1
10482,52vEY7f17k,"Unit CTA1_06, Section CTA1_06-3",FOR05,1,xScale,,,,,,,,1.0,,,,Changing axis intervals,28,CTA1_06,CTA1_06-3
11024,52vEY7f17k,"Unit ES_03, Section ES_03-6",EG52,1,2.9 = -2x+3.7+x,,,,,,,,1.0,,,,"[SkillRule: Consolidate vars, no coeff; CLT]",27,ES_03,ES_03-6
11476,52vEY7f17k,"Unit CTA1_08, Section CTA1_08-3",REAL10,1,yScale,,,,,,,,1.0,,,,Changing axis intervals,65,CTA1_08,CTA1_08-3
11948,52vEY7f17k,"Unit ES_04, Section ES_04-12",EG58,7,xR2,,,,,,,,1.0,,,,,,ES_04,ES_04-12
12532,52vEY7f17k,"Unit CTA1_10, Section CTA1_10-5",DIST05_SP,1,R1C2,,,,,,,,1.0,,,,,,CTA1_10,CTA1_10-5
12955,52vEY7f17k,"Unit ES_07, Section ES_07-4",LIT69A,4,z*u-n*j+z*g = 16n,,,,,,,,0.0,,,,"[SkillRule: Consolidate vars, any; {Combine variables to right, sub; Combine variables to right, add; Combine variables to right, gen; Combine variables to right; Combine variables to left, add; Combine variables to left, sub; Combine variables to left, gen; ax+b=cx; ax+b=cx, move left; ax+b=cx+d, pos; ax+b=cx+d, neg; ax+b=cx+d, move right; ax+b=cx+d, move two; ax+b=cx+d, move two2; x+b=cx+d, pos; x+b=cx+d, neg; x+b=cx+d, move right; x+b=cx+d, move two; x+b=cx+d, move two2; ax+b=x+d, pos; ax+b=x+d, neg; ax+b=x+d, move right; ax+b=x+d, move two; ax+b=x+d, move two2; x+b=x+d, pos; x+b=x+d, neg; x+b=x+d, move right; x+b=x+d, move two; x+b=x+d, move two2}]",42,ES_07,ES_07-4
19200,6W08a98ZQV,"Unit ES_02, Section ES_02-8",EG41,2,FinalAnswer,,,,,,,,1.0,,,,perform-mult-sp,9,ES_02,ES_02-8
19384,6W08a98ZQV,"Unit CTA1_13, Section CTA1_13-1",PROP10,1,R1C2,,,,,,,,1.0,,,,,,CTA1_13,CTA1_13-1
19835,6W08a98ZQV,"Unit CTA1_06, Section CTA1_06-3",FOR05,2,XLabel,,,,,,,,1.0,,,,Labelling the axes,33,CTA1_06,CTA1_06-3
20340,6W08a98ZQV,"Unit ES_03, Section ES_03-6",EG52A,1,constant termsR2,,,,,,,,1.0,,,,,,ES_03,ES_03-6
20727,6W08a98ZQV,"Unit CTA1_08, Section CTA1_08-3",REAL37,1,Formula 1 Coeff 0,,,,,,,,1.0,,,,Setting the y-intercept,19,CTA1_08,CTA1_08-3
21074,6W08a98ZQV,"Unit ES_04, Section ES_04-14",LIT33A,1,17/c = c*x/c,,,,,,,,1.0,,,,[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]],63,ES_04,ES_04-14
21263,6W08a98ZQV,"Unit CTA1_10, Section CTA1_10-2",DIST03_SP,3,R4C1,,,,,,,,1.0,,,,Entering a given,177,CTA1_10,CTA1_10-2
21616,8o0mJnIpFH,"Unit CTA1_06, Section CTA1_06-3",JAN05,2,R5C1,,,,,,,,0.0,,,,"Using simple numbers~~Using large numbers~~Find X, positive slope",24~~15~~18,CTA1_06,CTA1_06-3
22178,8o0mJnIpFH,"Unit ES_03, Section ES_03-6",EG51A,2,constant termsR2,,,,,,,,1.0,,,,,,ES_03,ES_03-6
22320,8o0mJnIpFH,"Unit CTA1_08, Section CTA1_08-2",FEB03,1,yMin,,,,,,,,1.0,,,,Changing axis bounds,98,CTA1_08,CTA1_08-2
22862,8o0mJnIpFH,"Unit ES_04, Section ES_04-15",LIT58,1,7+y*(b+n) = r+f,,,,,,,,1.0,,,,"[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]",70,ES_04,ES_04-15
23277,8o0mJnIpFH,"Unit CTA1_10, Section CTA1_10-5",DISTFB08_SP,1,R3C2,,,,,,,,0.0,,,,"Using simple numbers~~Write expression, positive slope~~Using large numbers",78~~45~~56,CTA1_10,CTA1_10-5
