Row,Anon Student Id,Problem Hierarchy,Problem Name,Problem View,Step Name,Step Start Time,First Transaction Time,Correct Transaction Time,Step End Time,Step Duration (sec),Correct Step Duration (sec),Error Step Duration (sec),Correct First Attempt,Incorrects,Hints,Corrects,KC(Default),Opportunity(Default)
9938,52vEY7f17k,"Unit CTA1_13, Section CTA1_13-1",PROP04,1,R1C1,2005-09-09 12:23:34.0,2005-09-09 12:24:07.0,2005-09-09 12:24:07.0,2005-09-09 12:24:07.0,33.0,33.0,,1,0,0,1,,
9939,52vEY7f17k,"Unit CTA1_13, Section CTA1_13-1",PROP04,1,R1C2,2005-09-09 12:24:07.0,2005-09-09 12:24:22.0,2005-09-09 12:24:22.0,2005-09-09 12:24:22.0,15.0,15.0,,1,0,0,1,,
9940,52vEY7f17k,"Unit CTA1_13, Section CTA1_13-1",PROP04,1,R3C1,2005-09-09 12:24:22.0,2005-09-09 12:25:16.0,2005-09-09 12:25:40.0,2005-09-09 12:25:40.0,78.0,,78.0,0,2,0,1,Define Variable,1
9941,52vEY7f17k,"Unit CTA1_13, Section CTA1_13-1",PROP04,1,R3C2,2005-09-09 12:25:40.0,2005-09-09 12:25:51.0,2005-09-09 12:27:24.0,2005-09-09 12:27:24.0,104.0,,104.0,0,4,9,1,"Using small numbers~~Write expression, positive slope~~Using difficult numbers",1~~1~~1
9942,52vEY7f17k,"Unit CTA1_13, Section CTA1_13-1",PROP04,1,R4C1,2005-09-09 12:27:24.0,2005-09-09 12:27:30.0,2005-09-09 12:27:30.0,2005-09-09 12:27:30.0,6.0,6.0,,1,0,0,1,Entering a given,1
9943,52vEY7f17k,"Unit CTA1_13, Section CTA1_13-1",PROP04,1,R5C1,2005-09-09 12:27:30.0,2005-09-09 12:27:41.0,2005-09-09 12:27:41.0,2005-09-09 12:27:41.0,11.0,11.0,,1,0,0,1,Entering a given,2
9944,52vEY7f17k,"Unit CTA1_13, Section CTA1_13-1",PROP04,1,R6C1,2005-09-09 12:27:41.0,2005-09-09 12:28:41.0,2005-09-09 12:28:41.0,2005-09-09 12:28:41.0,60.0,60.0,,1,0,0,1,Entering a given,3
9945,52vEY7f17k,"Unit CTA1_13, Section CTA1_13-1",PROP04,1,R7C2,2005-09-09 12:28:50.0,2005-09-09 12:28:58.0,2005-09-09 12:28:58.0,2005-09-09 12:28:58.0,8.0,8.0,,1,0,0,1,Entering a given,4
9946,52vEY7f17k,"Unit CTA1_13, Section CTA1_13-1",PROP04,1,ValidEquations,2005-09-09 12:31:39.0,2005-09-09 12:31:52.0,2005-09-09 12:31:52.0,2005-09-09 12:31:52.0,13.0,13.0,,1,0,0,2,,
9947,52vEY7f17k,"Unit CTA1_13, Section CTA1_13-1",PROP04,1,7/10*X = 1400,2005-09-09 12:31:52.0,2005-09-09 12:32:28.0,2005-09-09 12:32:35.0,2005-09-09 12:32:35.0,43.0,,43.0,0,1,0,1,,
11591,52vEY7f17k,"Unit ES_04, Section ES_04-4",EG54,3,-9(y+6) = 8,2005-12-02 12:13:13.0,2005-12-02 12:13:54.0,2005-12-02 12:14:17.0,2005-12-02 12:14:17.0,64.0,,64.0,0,1,0,1,"[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]",12
11592,52vEY7f17k,"Unit ES_04, Section ES_04-4",EG54,3,-9(y+6)/-9 = 8/-9,2005-12-02 12:14:17.0,2005-12-02 12:14:21.0,2005-12-02 12:14:21.0,2005-12-02 12:25:03.0,646.0,646.0,,1,5,0,2,[SkillRule: Calculate Eliminate Parens; [Typein Skill: Eliminate Parens]],3
11593,52vEY7f17k,"Unit ES_04, Section ES_04-4",EG54,3,y+6 = 8/-9,2005-12-02 12:25:03.0,2005-12-02 12:25:07.0,2005-12-02 12:25:07.0,2005-12-02 12:25:07.0,4.0,4.0,,1,0,0,1,"[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]",102
11594,52vEY7f17k,"Unit ES_04, Section ES_04-4",EG54,3,y+6-6 = 8/-9-6,2005-12-02 12:25:07.0,2005-12-02 12:25:13.0,2005-12-02 12:25:13.0,2005-12-02 12:26:08.0,61.0,61.0,,1,3,0,2,"[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]]",24
11595,52vEY7f17k,"Unit ES_04, Section ES_04-4",EG54,3,y = 8/-9-6,2005-12-02 12:26:08.0,2005-12-02 12:26:12.0,2005-12-02 12:26:23.0,2005-12-02 12:26:48.0,40.0,,40.0,0,2,0,2,"[SkillRule: Consolidate vars, no coeff; CLT]",47
11596,52vEY7f17k,"Unit ES_04, Section ES_04-4",EG54,3,FinalAnswer,2005-12-02 12:26:48.0,2005-12-02 12:27:59.0,2005-12-02 12:27:59.0,2005-12-02 12:31:08.0,135.0,135.0,,1,6,1,2,simplify-fractions-sp~~combine-like-terms-sp,10~~24
11597,52vEY7f17k,"Unit ES_04, Section ES_04-4",EG54,3,y = -6+(8/-9),2005-12-02 12:27:59.0,2005-12-02 12:29:02.0,2005-12-02 12:29:02.0,2005-12-02 12:30:35.0,125.0,125.0,,1,0,4,2,"[SkillRule: Consolidate vars, no coeff; CLT]",48
11598,52vEY7f17k,"Unit ES_04, Section ES_04-4",EG54,4,8(x+6) = 7,2005-12-02 12:31:14.0,2005-12-02 12:31:54.0,2005-12-02 12:31:54.0,2005-12-02 12:31:54.0,40.0,40.0,,1,0,0,1,"[SkillRule: Eliminate Parens; {CLT nested; CLT nested, parens; Distribute Mult right; Distribute Mult left; (+/-x +/-a)/b=c, mult; (+/-x +/-a)*b=c, div; [var expr]/[const expr] = [const expr], multiply; Distribute Division left; Distribute Division right; Distribute both mult left; Distribute both mult right; Distribute both divide left; Distribute both divide right; Distribute subex}]",13
11599,52vEY7f17k,"Unit ES_04, Section ES_04-4",EG54,4,8(x+6)/8 = 7/8,2005-12-02 12:31:54.0,2005-12-02 12:31:57.0,2005-12-02 12:31:57.0,2005-12-02 12:32:03.0,9.0,9.0,,1,0,0,2,[SkillRule: Calculate Eliminate Parens; [Typein Skill: Eliminate Parens]],4
